,start station name,end station name,number of trips
0,5 Corners Library,5 Corners Library,104
1,5 Corners Library,Astor Place,18
2,5 Corners Library,Baldwin at Montgomery,40
3,5 Corners Library,Bergen Ave,6
4,5 Corners Library,Brunswick & 6th,14
5,5 Corners Library,Brunswick St,26
6,5 Corners Library,Christ Hospital,80
7,5 Corners Library,City Hall,11
8,5 Corners Library,Columbus Drive,29
9,5 Corners Library,Communipaw & Berry Lane,1
10,5 Corners Library,Dey St,33
11,5 Corners Library,Dixon Mills,5
12,5 Corners Library,Essex Light Rail,9
13,5 Corners Library,Exchange Place,67
14,5 Corners Library,Fairmount Ave,16
15,5 Corners Library,Glenwood Ave,5
16,5 Corners Library,Grand St,3
17,5 Corners Library,Grove St PATH,31
18,5 Corners Library,Hamilton Park,14
19,5 Corners Library,Harborside,55
20,5 Corners Library,Heights Elevator,87
21,5 Corners Library,Hilltop,35
22,5 Corners Library,JC Medical Center,7
23,5 Corners Library,JCBS Depot,1
24,5 Corners Library,Jackson Square,3
25,5 Corners Library,Jersey & 3rd,9
26,5 Corners Library,Jersey & 6th St,16
27,5 Corners Library,Journal Square,22
28,5 Corners Library,Lafayette Park,5
29,5 Corners Library,Leonard Gordon Park,93
30,5 Corners Library,Liberty Light Rail,4
31,5 Corners Library,Lincoln Park,20
32,5 Corners Library,Manila & 1st,13
33,5 Corners Library,Marin Light Rail,4
34,5 Corners Library,McGinley Square,21
35,5 Corners Library,Monmouth and 6th,10
36,5 Corners Library,Morris Canal,4
37,5 Corners Library,Newark Ave,51
38,5 Corners Library,Newport PATH,83
39,5 Corners Library,Newport Pkwy,11
40,5 Corners Library,Oakland Ave,294
41,5 Corners Library,Paulus Hook,5
42,5 Corners Library,Pershing Field,365
43,5 Corners Library,Riverview Park,55
44,5 Corners Library,Sip Ave,120
45,5 Corners Library,Union St,11
46,5 Corners Library,Van Vorst Park,19
47,5 Corners Library,Warren St,20
48,5 Corners Library,Washington St,58
49,5 Corners Library,York St,13
50,Astor Place,5 Corners Library,27
51,Astor Place,6 Ave & W 33 St,1
52,Astor Place,Astor Place,69
53,Astor Place,Baldwin at Montgomery,13
54,Astor Place,Barrow St & Hudson St,1
55,Astor Place,Bergen Ave,9
56,Astor Place,Broadway & Battery Pl,1
57,Astor Place,Broadway & W 32 St,1
58,Astor Place,Brunswick & 6th,5
59,Astor Place,Brunswick St,3
60,Astor Place,City Hall,65
61,Astor Place,Columbia Park,2
62,Astor Place,Columbus Drive,2
63,Astor Place,Communipaw & Berry Lane,16
64,Astor Place,Dey St,3
65,Astor Place,Dixon Mills,3
66,Astor Place,Essex Light Rail,7
67,Astor Place,Exchange Place,22
68,Astor Place,Fairmount Ave,11
69,Astor Place,Grand St,9
70,Astor Place,Grove St PATH,80
71,Astor Place,Hamilton Park,16
72,Astor Place,Harborside,7
73,Astor Place,Hilltop,39
74,Astor Place,JC Medical Center,27
75,Astor Place,Jackson Square,18
76,Astor Place,Jersey & 3rd,4
77,Astor Place,Jersey & 6th St,1
78,Astor Place,Journal Square,97
79,Astor Place,Lafayette Park,85
80,Astor Place,Liberty Light Rail,30
81,Astor Place,Lincoln Park,14
82,Astor Place,Manila & 1st,16
83,Astor Place,Marin Light Rail,4
84,Astor Place,McGinley Square,73
85,Astor Place,Monmouth and 6th,9
86,Astor Place,Montgomery St,7
87,Astor Place,Morris Canal,3
88,Astor Place,Newark Ave,47
89,Astor Place,Newport PATH,6
90,Astor Place,Newport Pkwy,4
91,Astor Place,Oakland Ave,2
92,Astor Place,Paulus Hook,6
93,Astor Place,Pershing Field,22
94,Astor Place,Sip Ave,1947
95,Astor Place,Union St,12
96,Astor Place,Van Vorst Park,31
97,Astor Place,Warren St,9
98,Astor Place,Washington St,3
99,Astor Place,York St,9
100,Baldwin at Montgomery,5 Corners Library,27
101,Baldwin at Montgomery,Astor Place,17
102,Baldwin at Montgomery,Baldwin at Montgomery,109
103,Baldwin at Montgomery,Bergen Ave,16
104,Baldwin at Montgomery,Brunswick & 6th,56
105,Baldwin at Montgomery,Brunswick St,47
106,Baldwin at Montgomery,Christ Hospital,12
107,Baldwin at Montgomery,City Hall,133
108,Baldwin at Montgomery,Columbus Drive,14
109,Baldwin at Montgomery,Communipaw & Berry Lane,11
110,Baldwin at Montgomery,Dey St,18
111,Baldwin at Montgomery,Dixon Mills,31
112,Baldwin at Montgomery,Essex Light Rail,38
113,Baldwin at Montgomery,Exchange Place,325
114,Baldwin at Montgomery,Fairmount Ave,20
115,Baldwin at Montgomery,Garfield Ave Station,3
116,Baldwin at Montgomery,Glenwood Ave,1
117,Baldwin at Montgomery,Grand St,10
118,Baldwin at Montgomery,Grove St PATH,868
119,Baldwin at Montgomery,Hamilton Park,42
120,Baldwin at Montgomery,Harborside,40
121,Baldwin at Montgomery,Heights Elevator,4
122,Baldwin at Montgomery,Hilltop,139
123,Baldwin at Montgomery,JC Medical Center,65
124,Baldwin at Montgomery,Jackson Square,3
125,Baldwin at Montgomery,Jersey & 3rd,17
126,Baldwin at Montgomery,Jersey & 6th St,10
127,Baldwin at Montgomery,Journal Square,70
128,Baldwin at Montgomery,Lafayette Park,5
129,Baldwin at Montgomery,Leonard Gordon Park,1
130,Baldwin at Montgomery,Liberty Light Rail,45
131,Baldwin at Montgomery,Lincoln Park,29
132,Baldwin at Montgomery,MLK Light Rail,1
133,Baldwin at Montgomery,Manila & 1st,49
134,Baldwin at Montgomery,Marin Light Rail,21
135,Baldwin at Montgomery,McGinley Square,73
136,Baldwin at Montgomery,Monmouth and 6th,10
137,Baldwin at Montgomery,Montgomery St,54
138,Baldwin at Montgomery,Morris Canal,15
139,Baldwin at Montgomery,Newark Ave,94
140,Baldwin at Montgomery,Newport PATH,44
141,Baldwin at Montgomery,Newport Pkwy,99
142,Baldwin at Montgomery,Oakland Ave,11
143,Baldwin at Montgomery,Paulus Hook,15
144,Baldwin at Montgomery,Pershing Field,12
145,Baldwin at Montgomery,Riverview Park,14
146,Baldwin at Montgomery,Sip Ave,1124
147,Baldwin at Montgomery,Union St,12
148,Baldwin at Montgomery,Van Vorst Park,113
149,Baldwin at Montgomery,Warren St,19
150,Baldwin at Montgomery,Washington St,41
151,Baldwin at Montgomery,West Side Light Rail,4
152,Baldwin at Montgomery,York St,18
153,Bayside Park,Bayside Park,3
154,Bayside Park,Bethune Center,1
155,Bayside Park,Exchange Place,9
156,Bayside Park,Garfield Ave Station,3
157,Bayside Park,Grove St PATH,6
158,Bayside Park,Hilltop,1
159,Bayside Park,JC Medical Center,3
160,Bayside Park,JCBS Depot,2
161,Bayside Park,MLK Light Rail,1
162,Bayside Park,Morris Canal,1
163,Bayside Park,Sip Ave,3
164,Bayside Park,West Side Light Rail,1
165,Bergen Ave,5 Corners Library,18
166,Bergen Ave,Astor Place,16
167,Bergen Ave,Baldwin at Montgomery,59
168,Bergen Ave,Bergen Ave,39
169,Bergen Ave,Brunswick & 6th,1
170,Bergen Ave,Brunswick St,6
171,Bergen Ave,City Hall,85
172,Bergen Ave,Communipaw & Berry Lane,3
173,Bergen Ave,Dey St,1
174,Bergen Ave,Dixon Mills,4
175,Bergen Ave,Essex Light Rail,1
176,Bergen Ave,Exchange Place,92
177,Bergen Ave,Fairmount Ave,7
178,Bergen Ave,Glenwood Ave,2
179,Bergen Ave,Grand St,3
180,Bergen Ave,Grove St PATH,109
181,Bergen Ave,Hamilton Park,1
182,Bergen Ave,Harborside,2
183,Bergen Ave,Heights Elevator,3
184,Bergen Ave,Hilltop,29
185,Bergen Ave,JC Medical Center,7
186,Bergen Ave,Jackson Square,8
187,Bergen Ave,Jersey & 3rd,2
188,Bergen Ave,Jersey & 6th St,2
189,Bergen Ave,Journal Square,89
190,Bergen Ave,Lafayette Park,8
191,Bergen Ave,Liberty Light Rail,14
192,Bergen Ave,Lincoln Park,9
193,Bergen Ave,Manila & 1st,1
194,Bergen Ave,Marin Light Rail,2
195,Bergen Ave,McGinley Square,65
196,Bergen Ave,Monmouth and 6th,4
197,Bergen Ave,Montgomery St,13
198,Bergen Ave,Morris Canal,1
199,Bergen Ave,Newark Ave,22
200,Bergen Ave,Newport PATH,38
201,Bergen Ave,Newport Pkwy,18
202,Bergen Ave,Oakland Ave,3
203,Bergen Ave,Paulus Hook,6
204,Bergen Ave,Pershing Field,4
205,Bergen Ave,Prospect Pl & 6 Ave,1
206,Bergen Ave,Riverview Park,2
207,Bergen Ave,Sip Ave,1586
208,Bergen Ave,Union St,7
209,Bergen Ave,Van Vorst Park,12
210,Bergen Ave,Warren St,2
211,Bergen Ave,Washington St,8
212,Bergen Ave,York St,1
213,Bethune Center,Astor Place,2
214,Bethune Center,Bayside Park,3
215,Bethune Center,Bethune Center,2
216,Bethune Center,Columbia Park,2
217,Bethune Center,Dixon Mills,1
218,Bethune Center,Essex Light Rail,1
219,Bethune Center,Jersey & 3rd,2
220,Bethune Center,Liberty Light Rail,3
221,Bethune Center,MLK Light Rail,3
222,Bethune Center,Marin Light Rail,1
223,Bethune Center,Sip Ave,4
224,Brunswick & 6th,5 Corners Library,10
225,Brunswick & 6th,Astor Place,1
226,Brunswick & 6th,Baldwin at Montgomery,22
227,Brunswick & 6th,Brunswick & 6th,96
228,Brunswick & 6th,Brunswick St,116
229,Brunswick & 6th,Christ Hospital,11
230,Brunswick & 6th,City Hall,223
231,Brunswick & 6th,Columbia Park,1
232,Brunswick & 6th,Columbus Drive,55
233,Brunswick & 6th,Dey St,8
234,Brunswick & 6th,Dixon Mills,71
235,Brunswick & 6th,Essex Light Rail,10
236,Brunswick & 6th,Exchange Place,180
237,Brunswick & 6th,Glenwood Ave,1
238,Brunswick & 6th,Grand St,33
239,Brunswick & 6th,Grove St PATH,4265
240,Brunswick & 6th,Hamilton Park,236
241,Brunswick & 6th,Harborside,42
242,Brunswick & 6th,Heights Elevator,40
243,Brunswick & 6th,Hilltop,29
244,Brunswick & 6th,JC Medical Center,55
245,Brunswick & 6th,Jackson Square,1
246,Brunswick & 6th,Jersey & 3rd,346
247,Brunswick & 6th,Jersey & 6th St,138
248,Brunswick & 6th,Journal Square,10
249,Brunswick & 6th,Lafayette Park,7
250,Brunswick & 6th,Leonard Gordon Park,5
251,Brunswick & 6th,Liberty Light Rail,40
252,Brunswick & 6th,Lincoln Park,3
253,Brunswick & 6th,Manila & 1st,589
254,Brunswick & 6th,Marin Light Rail,171
255,Brunswick & 6th,McGinley Square,14
256,Brunswick & 6th,Monmouth and 6th,60
257,Brunswick & 6th,Montgomery St,32
258,Brunswick & 6th,Morris Canal,12
259,Brunswick & 6th,Newark Ave,511
260,Brunswick & 6th,Newport PATH,249
261,Brunswick & 6th,Newport Pkwy,47
262,Brunswick & 6th,Oakland Ave,27
263,Brunswick & 6th,Paulus Hook,29
264,Brunswick & 6th,Pershing Field,41
265,Brunswick & 6th,Riverview Park,30
266,Brunswick & 6th,Sip Ave,33
267,Brunswick & 6th,Union St,2
268,Brunswick & 6th,Van Vorst Park,121
269,Brunswick & 6th,Warren St,99
270,Brunswick & 6th,Washington St,110
271,Brunswick & 6th,West St & Chambers St,1
272,Brunswick & 6th,York St,18
273,Brunswick St,5 Corners Library,21
274,Brunswick St,Astor Place,5
275,Brunswick St,Baldwin at Montgomery,38
276,Brunswick St,Bayside Park,2
277,Brunswick St,Bergen Ave,2
278,Brunswick St,Bethune Center,1
279,Brunswick St,Brunswick & 6th,49
280,Brunswick St,Brunswick St,169
281,Brunswick St,Christ Hospital,28
282,Brunswick St,City Hall,275
283,Brunswick St,Columbus Drive,87
284,Brunswick St,Communipaw & Berry Lane,7
285,Brunswick St,Dey St,7
286,Brunswick St,Dixon Mills,76
287,Brunswick St,Essex Light Rail,53
288,Brunswick St,Exchange Place,188
289,Brunswick St,Fairmount Ave,6
290,Brunswick St,Glenwood Ave,1
291,Brunswick St,Grand St,48
292,Brunswick St,Grove St PATH,3989
293,Brunswick St,Hamilton Park,192
294,Brunswick St,Harborside,65
295,Brunswick St,Heights Elevator,11
296,Brunswick St,Hilltop,45
297,Brunswick St,JC Medical Center,59
298,Brunswick St,Jersey & 3rd,202
299,Brunswick St,Jersey & 6th St,26
300,Brunswick St,Journal Square,13
301,Brunswick St,Lafayette Park,17
302,Brunswick St,Leonard Gordon Park,5
303,Brunswick St,Liberty Light Rail,38
304,Brunswick St,Lincoln Park,10
305,Brunswick St,Manila & 1st,295
306,Brunswick St,Marin Light Rail,89
307,Brunswick St,McGinley Square,11
308,Brunswick St,Monmouth and 6th,33
309,Brunswick St,Montgomery St,34
310,Brunswick St,Morris Canal,28
311,Brunswick St,NJCU,4
312,Brunswick St,Newark Ave,371
313,Brunswick St,Newport PATH,135
314,Brunswick St,Newport Pkwy,74
315,Brunswick St,Oakland Ave,34
316,Brunswick St,Paulus Hook,52
317,Brunswick St,Pershing Field,8
318,Brunswick St,Riverview Park,33
319,Brunswick St,Sip Ave,20
320,Brunswick St,Union St,24
321,Brunswick St,Van Vorst Park,103
322,Brunswick St,W 37 St & 10 Ave,1
323,Brunswick St,Warren St,195
324,Brunswick St,Washington St,64
325,Brunswick St,West Side Light Rail,2
326,Brunswick St,York St,38
327,Christ Hospital,5 Corners Library,32
328,Christ Hospital,Baldwin at Montgomery,17
329,Christ Hospital,Bergen Ave,1
330,Christ Hospital,Brunswick & 6th,18
331,Christ Hospital,Brunswick St,48
332,Christ Hospital,Christ Hospital,56
333,Christ Hospital,City Hall,65
334,Christ Hospital,Columbus Drive,16
335,Christ Hospital,Communipaw & Berry Lane,5
336,Christ Hospital,Dey St,7
337,Christ Hospital,Dixon Mills,37
338,Christ Hospital,Essex Light Rail,19
339,Christ Hospital,Exchange Place,58
340,Christ Hospital,Fairmount Ave,3
341,Christ Hospital,Glenwood Ave,3
342,Christ Hospital,Grand St,3
343,Christ Hospital,Grove St PATH,204
344,Christ Hospital,Hamilton Park,109
345,Christ Hospital,Harborside,17
346,Christ Hospital,Heights Elevator,107
347,Christ Hospital,Hilltop,346
348,Christ Hospital,JC Medical Center,8
349,Christ Hospital,Jersey & 3rd,21
350,Christ Hospital,Jersey & 6th St,2
351,Christ Hospital,Journal Square,279
352,Christ Hospital,Lafayette Park,1
353,Christ Hospital,Leonard Gordon Park,10
354,Christ Hospital,Liberty Light Rail,5
355,Christ Hospital,Lincoln Park,6
356,Christ Hospital,Manila & 1st,51
357,Christ Hospital,Marin Light Rail,8
358,Christ Hospital,McGinley Square,13
359,Christ Hospital,Monmouth and 6th,4
360,Christ Hospital,Montgomery St,3
361,Christ Hospital,Morris Canal,3
362,Christ Hospital,NJCU,1
363,Christ Hospital,Newark Ave,89
364,Christ Hospital,Newport PATH,38
365,Christ Hospital,Newport Pkwy,34
366,Christ Hospital,Oakland Ave,22
367,Christ Hospital,Paulus Hook,45
368,Christ Hospital,Pershing Field,108
369,Christ Hospital,Riverview Park,70
370,Christ Hospital,Sip Ave,367
371,Christ Hospital,Van Vorst Park,23
372,Christ Hospital,Warren St,10
373,Christ Hospital,Washington St,23
374,Christ Hospital,West Side Light Rail,2
375,Christ Hospital,York St,3
376,City Hall,5 Corners Library,15
377,City Hall,Astor Place,40
378,City Hall,Baldwin at Montgomery,59
379,City Hall,Bayside Park,3
380,City Hall,Bergen Ave,53
381,City Hall,Brunswick & 6th,103
382,City Hall,Brunswick St,170
383,City Hall,Christ Hospital,28
384,City Hall,City Hall,418
385,City Hall,Columbus Drive,137
386,City Hall,Communipaw & Berry Lane,148
387,City Hall,Dey St,12
388,City Hall,Dixon Mills,95
389,City Hall,Essex Light Rail,302
390,City Hall,Exchange Place,692
391,City Hall,Fairmount Ave,30
392,City Hall,Garfield Ave Station,44
393,City Hall,Glenwood Ave,10
394,City Hall,Grand St,253
395,City Hall,Grove St PATH,579
396,City Hall,Hamilton Park,579
397,City Hall,Harborside,178
398,City Hall,Heights Elevator,15
399,City Hall,Hilltop,26
400,City Hall,Hudson St & Reade St,1
401,City Hall,JC Medical Center,310
402,City Hall,JCBS Depot,4
403,City Hall,Jackson Square,8
404,City Hall,Jersey & 3rd,158
405,City Hall,Jersey & 6th St,96
406,City Hall,Journal Square,12
407,City Hall,Lafayette Park,258
408,City Hall,Leonard Gordon Park,6
409,City Hall,Liberty Light Rail,503
410,City Hall,Lincoln Park,34
411,City Hall,Manila & 1st,59
412,City Hall,Marin Light Rail,687
413,City Hall,McGinley Square,33
414,City Hall,Monmouth and 6th,69
415,City Hall,Montgomery St,143
416,City Hall,Morris Canal,282
417,City Hall,Newark Ave,226
418,City Hall,Newport PATH,330
419,City Hall,Newport Pkwy,157
420,City Hall,Oakland Ave,20
421,City Hall,Paulus Hook,300
422,City Hall,Pershing Field,39
423,City Hall,Riverview Park,16
424,City Hall,Sip Ave,21
425,City Hall,Union St,9
426,City Hall,Van Vorst Park,477
427,City Hall,W 116 St & Amsterdam Ave,1
428,City Hall,Warren St,181
429,City Hall,Washington St,153
430,City Hall,York St,247
431,Columbia Park,Bayside Park,2
432,Columbia Park,Bethune Center,3
433,Columbia Park,Columbia Park,2
434,Columbia Park,Danforth Light Rail,2
435,Columbia Park,Lincoln Park,1
436,Columbia Park,McGinley Square,1
437,Columbia Park,Monmouth and 6th,1
438,Columbia Park,Sip Ave,2
439,Columbus Drive,5 Corners Library,20
440,Columbus Drive,Baldwin at Montgomery,10
441,Columbus Drive,Barclay St & Church St,1
442,Columbus Drive,Bergen Ave,1
443,Columbus Drive,Brunswick & 6th,37
444,Columbus Drive,Brunswick St,93
445,Columbus Drive,Christ Hospital,7
446,Columbus Drive,City Hall,137
447,Columbus Drive,Columbus Drive,224
448,Columbus Drive,Communipaw & Berry Lane,35
449,Columbus Drive,Dey St,11
450,Columbus Drive,Dixon Mills,48
451,Columbus Drive,Duane St & Greenwich St,1
452,Columbus Drive,Essex Light Rail,642
453,Columbus Drive,Exchange Place,501
454,Columbus Drive,Fairmount Ave,20
455,Columbus Drive,Glenwood Ave,5
456,Columbus Drive,Grand St,321
457,Columbus Drive,Grove St PATH,264
458,Columbus Drive,Hamilton Park,245
459,Columbus Drive,Harborside,498
460,Columbus Drive,Heights Elevator,9
461,Columbus Drive,Hilltop,13
462,Columbus Drive,JC Medical Center,92
463,Columbus Drive,Jersey & 3rd,124
464,Columbus Drive,Jersey & 6th St,131
465,Columbus Drive,Journal Square,4
466,Columbus Drive,Lafayette Park,25
467,Columbus Drive,Leonard Gordon Park,2
468,Columbus Drive,Liberty Light Rail,62
469,Columbus Drive,Lincoln Park,3
470,Columbus Drive,Manila & 1st,37
471,Columbus Drive,Marin Light Rail,270
472,Columbus Drive,McGinley Square,28
473,Columbus Drive,Monmouth and 6th,53
474,Columbus Drive,Montgomery St,55
475,Columbus Drive,Morris Canal,539
476,Columbus Drive,Newark Ave,232
477,Columbus Drive,Newport PATH,536
478,Columbus Drive,Newport Pkwy,417
479,Columbus Drive,Oakland Ave,7
480,Columbus Drive,Paulus Hook,381
481,Columbus Drive,Pershing Field,4
482,Columbus Drive,Riverview Park,8
483,Columbus Drive,Sip Ave,6
484,Columbus Drive,Van Vorst Park,108
485,Columbus Drive,Vesey Pl & River Terrace,1
486,Columbus Drive,W 22 St & 8 Ave,1
487,Columbus Drive,W 56 St & 10 Ave,1
488,Columbus Drive,Warren St,514
489,Columbus Drive,Washington St,302
490,Columbus Drive,York St,71
491,Communipaw & Berry Lane,Astor Place,25
492,Communipaw & Berry Lane,Baldwin at Montgomery,3
493,Communipaw & Berry Lane,Bayside Park,2
494,Communipaw & Berry Lane,Bergen Ave,1
495,Communipaw & Berry Lane,Brunswick & 6th,1
496,Communipaw & Berry Lane,Brunswick St,10
497,Communipaw & Berry Lane,Christ Hospital,4
498,Communipaw & Berry Lane,City Hall,123
499,Communipaw & Berry Lane,Columbus Drive,105
500,Communipaw & Berry Lane,Communipaw & Berry Lane,101
501,Communipaw & Berry Lane,Essex Light Rail,9
502,Communipaw & Berry Lane,Exchange Place,107
503,Communipaw & Berry Lane,Fairmount Ave,1
504,Communipaw & Berry Lane,Garfield Ave Station,8
505,Communipaw & Berry Lane,Grand St,56
506,Communipaw & Berry Lane,Grove St PATH,451
507,Communipaw & Berry Lane,Hamilton Park,7
508,Communipaw & Berry Lane,Harborside,22
509,Communipaw & Berry Lane,Heights Elevator,8
510,Communipaw & Berry Lane,JC Medical Center,17
511,Communipaw & Berry Lane,JCBS Depot,3
512,Communipaw & Berry Lane,Jackson Square,6
513,Communipaw & Berry Lane,Jersey & 3rd,5
514,Communipaw & Berry Lane,Jersey & 6th St,1
515,Communipaw & Berry Lane,Journal Square,4
516,Communipaw & Berry Lane,Lafayette Park,23
517,Communipaw & Berry Lane,Leonard Gordon Park,1
518,Communipaw & Berry Lane,Liberty Light Rail,79
519,Communipaw & Berry Lane,Lincoln Park,2
520,Communipaw & Berry Lane,Manila & 1st,8
521,Communipaw & Berry Lane,Marin Light Rail,22
522,Communipaw & Berry Lane,McGinley Square,3
523,Communipaw & Berry Lane,Monmouth and 6th,4
524,Communipaw & Berry Lane,Montgomery St,12
525,Communipaw & Berry Lane,Morris Canal,6
526,Communipaw & Berry Lane,Newark Ave,35
527,Communipaw & Berry Lane,Newport PATH,22
528,Communipaw & Berry Lane,Newport Pkwy,8
529,Communipaw & Berry Lane,Paulus Hook,9
530,Communipaw & Berry Lane,Pershing Field,8
531,Communipaw & Berry Lane,Riverview Park,1
532,Communipaw & Berry Lane,Sip Ave,23
533,Communipaw & Berry Lane,Union St,12
534,Communipaw & Berry Lane,Van Vorst Park,28
535,Communipaw & Berry Lane,W 22 St & 10 Ave,1
536,Communipaw & Berry Lane,Warren St,11
537,Communipaw & Berry Lane,Washington St,3
538,Communipaw & Berry Lane,York St,3
539,Danforth Light Rail,Bayside Park,3
540,Danforth Light Rail,Christ Hospital,1
541,Danforth Light Rail,Columbia Park,3
542,Danforth Light Rail,Communipaw & Berry Lane,2
543,Danforth Light Rail,Danforth Light Rail,3
544,Danforth Light Rail,JC Medical Center,2
545,Danforth Light Rail,JCBS Depot,1
546,Danforth Light Rail,Liberty Light Rail,1
547,Danforth Light Rail,NJCU,1
548,Danforth Light Rail,Van Vorst Park,2
549,Dey St,5 Corners Library,35
550,Dey St,Astor Place,2
551,Dey St,Baldwin at Montgomery,14
552,Dey St,Bergen Ave,3
553,Dey St,Brunswick & 6th,3
554,Dey St,Brunswick St,11
555,Dey St,Christ Hospital,6
556,Dey St,City Hall,6
557,Dey St,Columbus Drive,4
558,Dey St,Communipaw & Berry Lane,2
559,Dey St,Dey St,55
560,Dey St,Dixon Mills,3
561,Dey St,Essex Light Rail,2
562,Dey St,Exchange Place,10
563,Dey St,Fairmount Ave,4
564,Dey St,Garfield Ave Station,1
565,Dey St,Glenwood Ave,8
566,Dey St,Grove St PATH,14
567,Dey St,Hamilton Park,26
568,Dey St,Heights Elevator,15
569,Dey St,Hilltop,14
570,Dey St,JC Medical Center,3
571,Dey St,Jersey & 6th St,5
572,Dey St,Journal Square,402
573,Dey St,Leonard Gordon Park,33
574,Dey St,Liberty Light Rail,5
575,Dey St,Lincoln Park,45
576,Dey St,Manila & 1st,4
577,Dey St,Marin Light Rail,1
578,Dey St,McGinley Square,10
579,Dey St,Monmouth and 6th,7
580,Dey St,Montgomery St,2
581,Dey St,Newark Ave,20
582,Dey St,Newport PATH,14
583,Dey St,Newport Pkwy,6
584,Dey St,Oakland Ave,8
585,Dey St,Paulus Hook,4
586,Dey St,Pershing Field,81
587,Dey St,Riverview Park,10
588,Dey St,Sip Ave,167
589,Dey St,Union St,3
590,Dey St,Van Vorst Park,7
591,Dey St,Warren St,3
592,Dey St,Washington St,90
593,Dixon Mills,5 Corners Library,5
594,Dixon Mills,Astor Place,2
595,Dixon Mills,Baldwin at Montgomery,41
596,Dixon Mills,Bergen Ave,8
597,Dixon Mills,Brunswick & 6th,155
598,Dixon Mills,Brunswick St,70
599,Dixon Mills,Christ Hospital,15
600,Dixon Mills,City Hall,140
601,Dixon Mills,Columbus Drive,95
602,Dixon Mills,Communipaw & Berry Lane,11
603,Dixon Mills,Dey St,1
604,Dixon Mills,Dixon Mills,147
605,Dixon Mills,Essex Light Rail,38
606,Dixon Mills,Exchange Place,250
607,Dixon Mills,Fairmount Ave,3
608,Dixon Mills,Glenwood Ave,3
609,Dixon Mills,Grand St,59
610,Dixon Mills,Grove St PATH,3280
611,Dixon Mills,Hamilton Park,89
612,Dixon Mills,Harborside,155
613,Dixon Mills,Hilltop,12
614,Dixon Mills,JC Medical Center,94
615,Dixon Mills,Jackson Square,1
616,Dixon Mills,Jersey & 3rd,93
617,Dixon Mills,Jersey & 6th St,13
618,Dixon Mills,Journal Square,6
619,Dixon Mills,Lafayette Park,13
620,Dixon Mills,Leonard Gordon Park,3
621,Dixon Mills,Liberty Light Rail,26
622,Dixon Mills,Lincoln Park,14
623,Dixon Mills,Manila & 1st,66
624,Dixon Mills,Marin Light Rail,63
625,Dixon Mills,McGinley Square,14
626,Dixon Mills,Monmouth and 6th,37
627,Dixon Mills,Montgomery St,37
628,Dixon Mills,Morris Canal,32
629,Dixon Mills,NJCU,1
630,Dixon Mills,Newark Ave,227
631,Dixon Mills,Newport PATH,48
632,Dixon Mills,Newport Pkwy,31
633,Dixon Mills,Oakland Ave,26
634,Dixon Mills,Paulus Hook,70
635,Dixon Mills,Pershing Field,12
636,Dixon Mills,Riverview Park,2
637,Dixon Mills,Sip Ave,4
638,Dixon Mills,Van Vorst Park,106
639,Dixon Mills,Warren St,57
640,Dixon Mills,Washington St,62
641,Dixon Mills,York St,20
642,Essex Light Rail,5 Corners Library,5
643,Essex Light Rail,6 Ave & Canal St,1
644,Essex Light Rail,Astor Place,1
645,Essex Light Rail,Atlantic Ave & Furman St,2
646,Essex Light Rail,Baldwin at Montgomery,25
647,Essex Light Rail,Bergen Ave,2
648,Essex Light Rail,Bethune Center,2
649,Essex Light Rail,Brunswick & 6th,35
650,Essex Light Rail,Brunswick St,31
651,Essex Light Rail,Christ Hospital,6
652,Essex Light Rail,City Hall,266
653,Essex Light Rail,Columbus Drive,368
654,Essex Light Rail,Communipaw & Berry Lane,8
655,Essex Light Rail,Dey St,2
656,Essex Light Rail,Dixon Mills,31
657,Essex Light Rail,Essex Light Rail,251
658,Essex Light Rail,Exchange Place,1750
659,Essex Light Rail,Garfield Ave Station,1
660,Essex Light Rail,Glenwood Ave,1
661,Essex Light Rail,Grand St,48
662,Essex Light Rail,Grove St PATH,461
663,Essex Light Rail,Hamilton Park,168
664,Essex Light Rail,Harborside,140
665,Essex Light Rail,Heights Elevator,17
666,Essex Light Rail,Henry St & Atlantic Ave,1
667,Essex Light Rail,Hilltop,24
668,Essex Light Rail,JC Medical Center,112
669,Essex Light Rail,Jackson Square,1
670,Essex Light Rail,Jersey & 3rd,39
671,Essex Light Rail,Jersey & 6th St,12
672,Essex Light Rail,Journal Square,10
673,Essex Light Rail,Lafayette Park,8
674,Essex Light Rail,Leonard Gordon Park,2
675,Essex Light Rail,Liberty Light Rail,285
676,Essex Light Rail,Lincoln Park,3
677,Essex Light Rail,Manila & 1st,70
678,Essex Light Rail,Marin Light Rail,354
679,Essex Light Rail,McGinley Square,5
680,Essex Light Rail,Monmouth and 6th,8
681,Essex Light Rail,Montgomery St,20
682,Essex Light Rail,Morris Canal,247
683,Essex Light Rail,Newark Ave,149
684,Essex Light Rail,Newport PATH,323
685,Essex Light Rail,Newport Pkwy,240
686,Essex Light Rail,Oakland Ave,8
687,Essex Light Rail,Paulus Hook,212
688,Essex Light Rail,Pershing Field,5
689,Essex Light Rail,Riverview Park,5
690,Essex Light Rail,Sip Ave,2
691,Essex Light Rail,Union St,1
692,Essex Light Rail,Van Vorst Park,71
693,Essex Light Rail,Vesey Pl & River Terrace,3
694,Essex Light Rail,Warren St,338
695,Essex Light Rail,Washington St,232
